datetime,shipid,lon,lat,heading,course,speed,shiptype,destination
2020-02-29T23:56:01Z,50ee2bf4-a35b-459b-86ce-a687f5d0085e,23.668848333333337,37.93902333333333,,327.4,0,37,PIRAEUS
2020-03-01T17:28:25Z,85acb58c-b7fc-4b6c-8665-26716e90b456,23.681773333333336,37.932916666666664,249,34,0.1,37,FLOISVOS
2020-03-01T18:11:44Z,a295a927-6562-4188-885b-31f86cda126d,23.683903333333333,37.928635,,219.7,0,90,AEGEAN SEA
2020-03-01T05:46:56Z,72aeeab9-4fad-49ac-8c2c-b72afac782df,23.61155,37.8769,182,181,11.7,70,IT LIV
2020-03-01T02:46:15Z,fde3110a-d1bc-4f8f-b670-09fa5b1430d2,23.61093333333333,37.957166666666666,,140,0,52,PIRAEUS
2020-03-01T06:48:14Z,1c46a91b-90ac-4a5e-85bc-461e446ea042,23.6827,37.930925,212,16.9,0,60,ARG/KOS
2020-03-01T13:35:25Z,18ee54dc-c4e0-4c52-ba37-9cb4b70cbf7f,23.682413333333333,37.931866666666664,,0,0,37,FLISVOS
2020-03-01T00:59:25Z,dce44b8c-6c82-418a-8974-8b5df3393651,23.647836666666667,37.93292666666667,,288.1,0,37,PATRAS
2020-03-01T00:28:03Z,6c9c58fc-a582-485d-9583-a46365e8bda7,23.54733333333333,37.866499999999995,,,0,80,KERATSINI      
2020-03-01T06:45:24Z,18ee54dc-c4e0-4c52-ba37-9cb4b70cbf7f,23.682405000000003,37.93190333333334,,0,0,37,FLISVOS
2020-03-01T18:29:15Z,6355d97e-0c5e-4ff0-95d7-02c7061677c5,23.566525000000002,37.960966666666664,186,189,0,37,PERAMA
2020-03-01T05:02:25Z,2df9bed1-7474-4327-96e5-41d770d44220,23.614991666666665,37.94475666666666,,181.9,0.1,80,
2020-03-01T20:25:11Z,50ee2bf4-a35b-459b-86ce-a687f5d0085e,23.668848333333337,37.93902333333333,,335.9,0,37,PIRAEUS
2020-03-01T05:43:09Z,34e2a568-d282-4f81-a2c6-f96dda7bc1ba,23.556158333333332,37.963856666666665,,0,0,60,PERAMA-PALOYKIA
2020-03-01T11:25:04Z,a25793b6-45c2-4b9f-8886-8223f54da7a1,23.608948333333334,37.955421666666666,,,0.1,52,KERATSINI  
2020-03-01T07:03:20Z,8c0825be-2cab-40c7-8f7a-09a44c32a9f3,23.502856666666666,37.82971,,227.7,14.4,60,ARGOSARONIKOS
2020-03-01T05:19:43Z,1c46a91b-90ac-4a5e-85bc-461e446ea042,23.682706666666665,37.93093833333333,212,16.9,0,60,ARG/KOS
2020-03-01T13:07:08Z,71dd47ad-32bd-4449-81c4-7ed83147a39c,23.609196666666666,37.88135833333333,177,178,9.7,71,TRIZM       
2020-03-01T06:34:03Z,a295a927-6562-4188-885b-31f86cda126d,23.683911666666667,37.92865166666666,,219.7,0,90,AEGEAN SEA
2020-03-01T13:39:42Z,e2e233fa-4c81-4fa1-83ab-7fe9f5bd5b7c,23.683226666666666,37.933456666666665,221,,0,37,
2020-03-01T05:51:45Z,bc9adc24-0fb4-4cbd-b5a4-5f7b3b500252,23.681516666666667,37.92961666666667,32,108,0,37,
2020-03-01T07:56:00Z,947225f9-53b7-490a-a20c-ebaae7f0e379,23.681911666666668,37.93279833333334,,248.7,0,37,
2020-03-01T02:24:32Z,df0fd6f7-2a46-4ff3-a2b3-278b5019f298,23.668628333333334,37.939780000000006,,,0.1,36,
2020-03-01T18:48:04Z,18ee54dc-c4e0-4c52-ba37-9cb4b70cbf7f,23.682421666666666,37.93187666666667,,0,0,37,FLISVOS
2020-03-01T02:32:02Z,ed5e8ae2-b24e-4f84-90ce-39c5cca5a163,23.612315000000002,37.957856666666665,,88.8,0,30,
2020-02-29T23:13:24Z,c5ec1dac-7a55-4351-ae1f-557a63123187,23.599926666666665,37.957301666666666,34,221.6,0,79,PIRAEUS
2020-02-29T23:19:47Z,c671bcf6-2fa2-4e2f-b536-1995122de063,23.6415,37.947916666666664,179,160,0,60,SIR TIN MYK
