key,date,time,price,volume
EURTRY,01/08/2019,13:32:06,6.26992,1
EURTRY,01/08/2019,10:09:32,6.20184,1
EURTRY,01/08/2019,10:00:27,6.19382,1
XAUUSD,01/08/2019,03:43:21,1286.27,1
ND,01/08/2019,17:50:49,6513.6,1
XAUUSD,01/08/2019,19:28:51,1285.02,1
EURTRY,01/08/2019,13:42:45,6.2748,1
EURTRY,01/08/2019,10:06:46,6.20023,1
EURTRY,01/08/2019,13:13:06,6.27231,1
EURTRY,01/08/2019,10:02:17,6.19372,1
ND,01/08/2019,05:53:10,6524.01,1
EURTRY,01/08/2019,13:18:07,6.271,1
XAUUSD,01/08/2019,19:45:40,1285.65,1
EURTRY,01/08/2019,13:06:22,6.26323,1
XAUUSD,01/08/2019,04:43:37,1284.46,1
XAUUSD,01/08/2019,02:19:53,1289.66,1
ND,01/08/2019,22:02:29,6564.76,1
XAUUSD,01/08/2019,04:04:34,1285.64,1
XAUUSD,01/08/2019,14:34:20,1281.36,1
EURTRY,01/08/2019,13:32:19,6.2704,1
EURTRY,01/08/2019,09:24:22,6.20202,1
EURTRY,01/08/2019,19:16:02,6.30013,1
XAUUSD,01/08/2019,06:46:48,1282.83,1
XAUUSD,01/08/2019,08:54:09,1283.18,1
ND,01/08/2019,06:17:55,6527.72,1
ND,01/08/2019,02:06:14,6517.1,1
EURTRY,01/08/2019,10:57:03,6.23032,1
EURTRY,01/08/2019,12:31:37,6.25404,1
EURTRY,01/08/2019,10:52:04,6.23205,1
ND,01/08/2019,21:43:44,6559.77,1
EURTRY,01/08/2019,20:17:24,6.28968,1
XAUUSD,01/08/2019,00:11:34,1289.34,1
XAUUSD,01/08/2019,02:11:28,1288.92,1
ND,01/08/2019,15:52:42,6549.42,1
EURTRY,01/08/2019,20:01:02,6.31028,1
XAUUSD,01/08/2019,03:54:45,1285.37,1
ND,01/08/2019,21:19:29,6563.76,1
EURTRY,01/08/2019,09:00:20,6.20946,1
EURTRY,01/08/2019,11:53:01,6.26429,1
EURTRY,01/08/2019,13:39:32,6.27555,1
XAUUSD,01/08/2019,09:05:59,1283.19,1
EURTRY,01/08/2019,21:06:53,6.27701,1
ND,01/08/2019,14:03:31,6545.38,1
ND,01/08/2019,17:44:13,6504.24,1
ND,01/08/2019,13:26:51,6546.5,1
EURTRY,01/08/2019,11:37:16,6.27014,1
XAUUSD,01/08/2019,06:37:16,1282.14,1
XAUUSD,01/08/2019,15:49:22,1281.81,1
EURTRY,01/08/2019,05:41:44,6.17563,1
EURTRY,01/08/2019,12:09:56,6.26625,1
XAUUSD,01/08/2019,10:58:45,1283.62,1
XAUUSD,01/08/2019,15:57:16,1286.04,1
XAUUSD,01/08/2019,17:46:43,1284.32,1
ND,01/08/2019,10:30:44,6532.38,1
ND,01/08/2019,09:34:16,6528.64,1
XAUUSD,01/08/2019,19:01:51,1286.62,1
ND,01/08/2019,04:49:52,6521.74,1
EURTRY,01/08/2019,13:37:23,6.27046,1
EURTRY,01/08/2019,13:50:15,6.29406,1
XAUUSD,01/08/2019,16:22:41,1284.02,1
XAUUSD,01/08/2019,19:58:39,1285.02,1
EURTRY,01/08/2019,13:40:08,6.27415,1
XAUUSD,01/08/2019,18:36:49,1286.51,1
EURTRY,01/08/2019,13:05:03,6.26507,1
XAUUSD,01/08/2019,15:29:55,1281.55,1
EURTRY,01/08/2019,08:20:14,6.1849,1
ND,01/08/2019,18:22:18,6535.28,1
EURTRY,01/08/2019,05:40:04,6.17525,1
XAUUSD,01/08/2019,18:44:59,1286.38,1
EURTRY,01/08/2019,09:37:45,6.20138,1
ND,01/08/2019,02:49:56,6508.62,1
ND,01/08/2019,18:48:59,6519.26,1
ND,01/08/2019,03:41:43,6524.84,1
ND,01/08/2019,21:09:57,6553.64,1
EURTRY,01/08/2019,13:57:07,6.29098,1
EURTRY,01/08/2019,08:42:01,6.2074,1
EURTRY,01/08/2019,20:11:47,6.29494,1
ND,01/08/2019,11:53:17,6535.78,1
ND,01/08/2019,21:06:41,6545.98,1
EURTRY,01/08/2019,16:15:50,6.27946,1
ND,01/08/2019,21:59:03,6563.64,1
EURTRY,01/08/2019,15:46:27,6.26231,1
XAUUSD,01/08/2019,20:46:07,1285.27,1
EURTRY,01/08/2019,11:52:42,6.26844,1
EURTRY,01/08/2019,11:32:53,6.26419,1
XAUUSD,01/08/2019,19:09:50,1285.98,1
ND,01/08/2019,21:09:24,6556.02,1
ND,01/08/2019,21:00:44,6554.97,1
ND,01/08/2019,21:29:58,6565.89,1
EURTRY,01/08/2019,07:02:21,6.17378,1
ND,01/08/2019,09:51:56,6533.01,1
XAUUSD,01/08/2019,19:29:00,1285.04,1
EURTRY,01/08/2019,01:05:11,6.18643,1
ND,01/08/2019,15:34:56,6579.28,1
XAUUSD,01/08/2019,20:48:58,1285.09,1
XAUUSD,01/08/2019,14:24:15,1279.94,1
ND,01/08/2019,15:49:54,6555.28,1
